"id";"left_tbl";"left_id";"right_tbl";"right_id";"left_code";"right_code";"state";"data_role_1";"data_role_2";"data_auth";"create_time"
1;User;2;Role;7;modadwap;default_role;"1";;;;2024-11-28 03:47:16.146
2;User;2;Role;39159;modadwap;verify_org_apuser;"1";;;;2024-11-28 03:47:16.146
40193;User;1;Role;7;admin;default_role;"1";"";"";"";2024-11-28 03:47:16.146
40195;User;1;Role;39153;admin;verify_admin;"1";"";"";"";2024-11-28 03:47:16.149
90001;Role;7;Res;110;default_role;ams311w_PrsonInfo;"1";"";"";"";2024-09-24 06:27:09.557
90002;Role;7;Res;111;default_role;ams311w_upPwd;"1";"";"";"";2024-09-24 06:27:09.557
268400;Role;39153;Res;224;verify_admin;verifier_DIDregister;"1";;;;2025-02-21 08:57:20.889
268401;Role;39153;Res;208;verify_admin;verifier_CreateVP;"1";;;;2025-02-21 08:57:20.879
268402;Role;39153;Res;28;verify_admin;ams311w_s;"1";;;;2025-02-21 08:57:20.884
268403;Role;39153;Res;27;verify_admin;ams311w_c;"1";;;;2025-02-21 08:57:20.887
268404;Role;39153;Res;73;verify_admin;ams311w_upState;"1";;;;2025-02-21 08:57:20.889
268405;Role;39153;Res;75;verify_admin;ams311w_userRoles;"1";;;;2025-02-21 08:57:20.891
268406;Role;39153;Res;74;verify_admin;ams311w_e;"1";;;;2025-02-21 08:57:20.892
268407;Role;39153;Res;70;verify_admin;ams311w_conferRole;"1";;;;2025-02-21 08:57:20.894
268408;Role;39153;Res;72;verify_admin;ams311w_resetBwd;"1";;;;2025-02-21 08:57:20.895
268409;Role;39153;Res;217;verify_admin;ams311w_d;"1";;;;2025-02-21 08:57:20.897
268410;Role;39153;Res;30;verify_admin;ams321w_s;"1";;;;2025-02-21 08:57:20.899
268411;Role;39153;Res;29;verify_admin;ams321w_c;"1";;;;2025-02-21 08:57:20.900
268412;Role;39153;Res;67;verify_admin;ams321w_upState;"1";;;;2025-02-21 08:57:20.902
268413;Role;39153;Res;69;verify_admin;ams321w_hasRes;"1";;;;2025-02-21 08:57:20.903
268414;Role;39153;Res;31;verify_admin;ams321w_e;"1";;;;2025-02-21 08:57:20.905
268415;Role;39153;Res;68;verify_admin;ams321w_conferRes;"1";;;;2025-02-21 08:57:20.906
268416;Role;39153;Res;32;verify_admin;ams321w_d;"1";;;;2025-02-21 08:57:20.908
268417;Role;39153;Res;105;verify_admin;org_s;"1";;;;2025-02-21 08:57:20.909
268418;Role;39153;Res;101;verify_admin;org_a;"1";;;;2025-02-21 08:57:20.911
268419;Role;39153;Res;103;verify_admin;org_c;"1";;;;2025-02-21 08:57:20.912
268420;Role;39153;Res;104;verify_admin;org_d;"1";;;;2025-02-21 08:57:20.914
268421;Role;39154;Res;28;verify_org_manager;ams311w_s;"1";;;;2025-02-21 08:57:31.474
268422;Role;39154;Res;27;verify_org_manager;ams311w_c;"1";;;;2025-02-21 08:57:31.476
268423;Role;39154;Res;73;verify_org_manager;ams311w_upState;"1";;;;2025-02-21 08:57:31.479
268424;Role;39154;Res;75;verify_org_manager;ams311w_userRoles;"1";;;;2025-02-21 08:57:31.481
268425;Role;39154;Res;74;verify_org_manager;ams311w_e;"1";;;;2025-02-21 08:57:31.483
268426;Role;39154;Res;70;verify_org_manager;ams311w_conferRole;"1";;;;2025-02-21 08:57:31.485
268427;Role;39154;Res;72;verify_org_manager;ams311w_resetBwd;"1";;;;2025-02-21 08:57:31.487
268428;Role;39154;Res;217;verify_org_manager;ams311w_d;"1";;;;2025-02-21 08:57:31.488
272851;Role;39156;Res;208;verify_org_user;verifier_CreateVP;"1";;;;2025-02-26 06:31:45.643
272852;Role;39156;Res;219;verify_org_user;VP_Create_ExtApi;"1";;;;2025-02-26 06:31:45.645
272853;Role;256203;Res;208;verify_basic_vp;verifier_CreateVP;"1";;;;2025-02-26 06:32:54.562
272854;Role;256203;Res;219;verify_basic_vp;VP_Create_ExtApi;"1";;;;2025-02-26 06:32:54.564
277751;Role;39159;Res;208;verify_org_apuser;verifier_CreateVP;"1";;;;2025-02-27 07:45:56.550
277752;Role;39159;Res;219;verify_org_apuser;VP_Create_ExtApi;"1";;;;2025-02-27 07:45:56.553
277753;Role;39159;Res;208;verify_org_apuser;verifier_CreateVP;"1";;;;2025-02-27 07:45:56.555
472402;Role;39153;Res;225;verify_admin;verifier_OrgLogo;"1";;;;2025-06-13 03:47:12.007
472403;Role;39153;Res;226;verify_admin;verifier_OrgKeySetting;"1";;;;2025-07-04 09:34:35.007
