"id";"parent_id";"child_id";"parent_code";"child_code";"create_time";"orderval"
51;;57;"";Top_account;2024-07-26 03:47:12.007;"800"
52;57;58;Top_account;account;2024-07-26 03:47:12.007;"1000"
53;58;27;account;ams311w_c;2024-07-26 03:47:12.007;"1200"
54;58;28;account;ams311w_s;2024-07-26 03:47:12.007;"1100"
55;58;70;account;ams311w_conferRole;2024-07-26 03:47:12.007;"1600"
56;58;75;account;ams311w_userRoles;2024-07-26 03:47:12.007;"1400"
57;58;72;account;ams311w_resetBwd;2024-07-26 03:47:12.007;"1700"
58;58;73;account;ams311w_upState;2024-07-26 03:47:12.007;"1300"
59;58;74;account;ams311w_e;2024-07-26 03:47:12.007;"1500"
60;57;59;Top_account;role;2024-07-26 03:47:12.007;"2000"
61;59;29;role;ams321w_c;2024-07-26 03:47:12.007;"1200"
62;59;30;role;ams321w_s;2024-07-26 03:47:12.007;"1100"
63;59;31;role;ams321w_e;2024-07-26 03:47:12.007;"1500"
64;59;32;role;ams321w_d;2024-07-26 03:47:12.007;"1700"
65;59;67;role;ams321w_upState;2024-07-26 03:47:12.007;"1300"
66;59;68;role;ams321w_conferRes;2024-07-26 03:47:12.007;"1600"
67;59;69;role;ams321w_hasRes;2024-07-26 03:47:12.007;"1400"
68;57;60;Top_account;func;2024-07-26 03:47:12.007;"1600"
69;60;33;func;ams331w_s;2024-07-26 03:47:12.007;"1400"
70;60;66;func;ams331w_upState;2024-07-26 03:47:12.007;"1600"
71;57;61;Top_account;accessToken;2024-07-26 03:47:12.007;"4000"
74;57;62;Top_account;accountChange;2024-07-26 03:47:12.007;"1500"
75;62;36;accountChange;ams312w_s;2024-07-26 03:47:12.007;"1400"
76;57;63;Top_account;roleChange;2024-07-26 03:47:12.007;"6000"
77;63;37;roleChange;ams322w_s;2024-07-26 03:47:12.007;"1100"
78;57;64;Top_account;funcChange;2024-07-26 03:47:12.007;"7000"
79;64;38;funcChange;ams332w_s;2024-07-26 03:47:12.007;"1100"
80;57;65;Top_account;trace;2024-07-26 03:47:12.007;"8000"
81;65;39;trace;ams341w_s;2024-07-26 03:47:12.007;"1100"
90;57;100;Top_account;org;2024-09-24 06:27:09.557;"3000"
91;100;101;org;org_a;2024-09-24 06:27:09.557;"1200"
92;100;102;org;org_b;2024-09-24 06:27:09.557;"1200"
93;100;103;org;org_c;2024-09-24 06:27:09.557;"1300"
94;100;104;org;org_d;2024-09-24 06:27:09.557;"1400"
95;100;105;org;org_s;2024-09-24 06:27:09.557;"1100"
100;;210;"";Top_verifier;2024-07-26 03:47:12.007;"100"
102;210;208;Top_verifier;verifier_CreateVP;2024-07-26 03:47:12.007;"1200"
112;;215;"";api_verifier;2024-09-04 09:52:43.000;"900"
116;58;217;account;ams311w_d;2024-07-26 03:47:12.007;"1800"
117;207;218;verifier;VP_Create_Ext;2025-02-06 03:47:12.007;"1300"
118;215;219;api_verifier;VP_Create_ExtApi;2024-09-04 09:52:43.000;"1000"
121;;222;"";api_verifier_manager;2025-02-10 02:45:12.007;"950"
122;222;208;api_verifier_manager;verifier_CreateVP;2025-02-10 02:45:12.007;"1200"
125;223;225;;verifier_OrgLogo;2025-06-13 03:47:12.007;"1000"
126;223;226;;verifier_OrgKeySetting;2025-07-04 09:34:35.007;"1000"
